site name,site_num,sample_id,heat_island,micro_hab,uhii_year,max_humidity,min_humidity ,sample_lat,sample_long,sample_lat_humidity,sample_long_humidity,moss_pres,num_species,species_present,Canopy cover directions 1,Canopy cover directions 2,Canopy cover directions 3,Canopy cover directions 4,can_cov,growth_sub,growth_cat,dist_walk_m,dist_walk_cat,dist_road_m,dist_road_cat,dist_water_m,dist_water_cat,direc_found,num_col,water_pres,moss_area_m2,NOTES,,,
"ernest w debs regional park, montecito",41,41.2,2,greenspace,11770.6,81.71643829,40.93862915,34.09,-118.193889,34.09,-118.193889,0,0,NA,17,72,51,44,52.08,dirt,0,1.3,,>30,,NA,,south,0,0,0,grassy area,,,
"ernest w debs regional park, montecito",41,41.3,2,greenspace,11770.6,82.2983551,37.28849411,34.093611,-118.189722,34.093611,-118.189722,0,0,NA,3,9,6,12,92.19,dirt,0,1.35,,>30,,NA,,center,0,0,0,grassy by trash,,,
"s manhattan pl, los angeles",42,42.1,1,residential,2691.38,85.92328644,50.39972687,33.956111,-118.31,33.956111,-118.31,1,,,26,3,3,19,86.72,dirt,0,0.6,,1.6,,NA,,east,5,0,0.015,,,,
"s manhattan pl, los angeles",42,42.2,1,residential,2691.38,85.92328644,50.39972687,33.956111,-118.310278,33.956111,-118.310278,0,0,NA,95,17,33,96,37.24,dirt,0,0.1,,0.85,,NA,,south,0,0,0,,,,
"s manhattan pl, los angeles",42,42.3,1,residential,2691.38,85.92328644,50.39972687,33.956389,-118.310278,33.956389,-118.310278,0,0,NA,58,88,7,96,35.16,dirt,0,0.2,,2.2,,NA,,south,0,0,0,,,,
"s ocean gate ave, hawthorne",43,43.1,1,urban,262.23,82.77452087,48.90465927,33.898333,-118.367222,33.898333,-118.367222,1,,,93,96,74,7,29.69,dirt,0,1.25,,3.75,,NA,,west,10,0,0.003,one moss was by a sprinkler head,,,
"s ocean gate ave, hawthorne",43,43.2,1,urban,262.23,82.77452087,48.90465927,33.898056,-118.367222,33.898056,-118.367222,1,,,83,13,38,84,43.23,dirt,0,0,,3.2,,NA,,west,3,0,1.46E-04,sample next to sprinkler,,,
"s ocean gate ave, hawthorne",43,43.3,1,urban,262.23,82.77452087,48.90465927,33.898056,-118.367222,33.898056,-118.367222,0,0,NA,96,96,92,96,1.04,dirt,0,0.3,,3.15,,NA,,south,0,0,0,"no tree cover like other areas, full of grass",,,
"norwalk park, norwalk",44,44.1,2,greenspace,8097.53,85.51616669,42.13205338,33.910556,-118.072778,33.910556,-118.072778,1,,,48,0,48,96,50.00,dirt,0,0,,2,,NA,,west,69,1,0.001,tons of liverwort! just didn't get to sample it :( ~20 colonies of liverwort (2 in quadrat!),,,
"norwalk park, norwalk",44,44.2,2,greenspace,8097.53,85.51616669,42.13205338,33.909444,-118.071667,33.909444,-118.071667,1,,,96,96,92,24,19.79,dirt,0,0,,11.96,,NA,,north,11,0,0.003,in transition area between grass and sidewalk,,,
"norwalk park, norwalk",44,44.3,2,greenspace,8097.53,85.51616669,42.13205338,33.909167,-118.072222,33.909167,-118.072222,0,0,NA,96,93,96,70,7.55,dirt,0,20.5,,30,,NA,,center,0,0,0,grass ,,,
"carmenita rd x pumice, norwalk",45,45.1,2,urban,8537.24,85.51616669,42.13205338,33.8975,-118.046667,33.8975,-118.046667,1,,,14,18,82,21,64.84,dirt,0,0.13,,1.95,,NA,,east,33,0,0.003,"near sprinkler head, lots of crack moss",,,
"carmenita rd x pumice, norwalk",45,45.2,2,urban,8537.24,85.51616669,42.13205338,33.897778,-118.046389,33.897778,-118.046389,1,,,38,32,80,96,35.94,concrete,2,0,,0.07,,NA,,east,28,0,0.001,"crack moss, many semi trucks driving thru",,,
"carmenita rd x pumice, norwalk",45,45.3,2,urban,8537.24,85.51616669,42.13205338,33.8975,-118.046389,33.8975,-118.046389,1,,,35,0,35,85,59.64,dirt,0,0,,1.69,,NA,,west,114,1,0.02,"huge patches, sample on sprinkler",,,
"pioneer blvd, cerritos",46,46.1,2,urban,6725.39,87.36986542,44.12958908,33.864722,-118.0825,33.864722,-118.0825,0,0,NA,46,46,0,24,69.79,asphalt,4,25.6,,0,,NA,,east,9,0,0,in alley behind businesses,,,
"pioneer blvd, cerritos",46,46.2,2,urban,6725.39,87.36986542,44.12958908,33.864444,-118.082778,33.864444,-118.082778,0,0,NA,52,24,87,34,48.70,asphalt,4,>30,,0,,NA,,east,0,0,0,"on road, no moss",,,
"pioneer blvd, cerritos",46,46.3,2,urban,6725.39,87.36986542,44.12958908,33.864444,-118.082778,33.864444,-118.082778,0,0,NA,96,80,88,24,25.00,asphalt,4,>30,,0,,NA,,center,0,0,0,"on road, no moss",,,
"charlemagne ave, long beach",47,47.1,2,residential,5179.43,89.96383667,47.07178116,33.8325,-118.130556,33.8325,-118.130556,1,,,33,7,82,17,63.80,dirt,0,0,,2.08,,NA,,center,11,0,0.004,,,,
"charlemagne ave, long beach",47,47.2,2,residential,5179.43,89.96383667,47.07178116,33.832778,-118.130556,33.832778,-118.130556,0,0,NA,96,94,70,73,13.28,dirt,0,1.7,,0.33,,NA,,east,0,0,0,covered in grass,,,
"white point beach, long beach",48,48.1,2,waterway,24.33,88.05315399,51.60219193,33.717778,-118.320833,33.717778,-118.320833,1,,,96,96,96,69,7.03,"rock, concrete","3, 2",21.2,,24.9,,0,,east,24,1,0.047,in tide pool area,,,
"white point beach, long beach",48,48.2,2,waterway,24.33,88.05315399,51.60219193,33.715833,-118.319444,33.715833,-118.319444,0,0,NA,96,96,72,96,6.25,"rock, sand","3, 5",26.9,,>30,,0,,center,0,1,0,sea water present,,,
"white point beach, long beach",48,48.3,2,waterway,24.33,88.05315399,51.60219193,33.7175,-118.320278,33.7175,-118.320278,0,0,NA,96,96,72,96,6.25,"rock, sand","3, 5",>30,,>30,,0,,west,0,1,0,sea water present,,,
"torrance beach, torrance",49,49.1,2,waterway,794.45,89.48136902,51.17835617,33.815833,-118.390833,33.815833,-118.390833,0,0,NA,96,96,96,96,0.00,sand,5,4.95,,>30,,>30,,south,0,0,0,"sand beach, no shade",,,
"torrance beach, torrance",49,49.2,2,waterway,794.45,89.48136902,51.17835617,33.816111,-118.391111,33.816111,-118.391111,0,0,NA,96,96,96,96,0.00,sand,5,12.8,,>30,,>30,,west,0,0,0,"sand beach, no shade",,,
"torrance beach, torrance",49,49.3,2,waterway,794.45,89.48136902,51.17835617,33.816389,-118.390833,33.816389,-118.390833,0,0,NA,96,96,96,96,0.00,sand,5,15.2,,>30,,>30,,north,0,0,0,"sand beach, no shade",,,
